flight_number,airline_name,departure_airport,departure_city,departure_country,departure_time,arrival_airport,arrival_city,arrival_country,duration_hours,distance_km
AM3867,Aeroméxico,Benito Juárez International,Mexico City,Mexico,11:04 PM,O'Hare International,Chicago,USA,2,2863
AC8333,Air Canada,Toronto Pearson,Toronto,Canada,1:39 PM,John F. Kennedy International,New York,USA,9,8459
NZ4633,Air New Zealand,Auckland Airport,Auckland,New Zealand,10:34 PM,Melbourne Airport,Melbourne,Australia,15,1006
EK1215,Emirates,Dubai International,Dubai,UAE,9:01 PM,Hamad International,Doha,Qatar,16,567
WN6588,Southwest Airlines,Los Angeles International,Los Angeles,USA,5:23 AM,San Francisco International,San Francisco,USA,8,4306
UA2787,United Airlines,Los Angeles International,Los Angeles,USA,8:35 AM,Vancouver International,Vancouver,Canada,18,6071
AZ4140,Alitalia,Leonardo da Vinci International,Rome,Italy,11:48 PM,Charles de Gaulle,Paris,France,1,3459
SA3265,South African Airways,O.R. Tambo International,Johannesburg,South Africa,6:06 PM,Charles de Gaulle,Paris,France,20,5623
NH2223,All Nippon Airways,Haneda,Tokyo,Japan,7:43 PM,Changi,Singapore,Singapore,14,8420
SQ4019,Singapore Airlines,Changi,Singapore,Singapore,11:52 AM,Beijing Capital International,Beijing,China,15,9965
QR5497,Qatar Airways,Hamad International,Doha,Qatar,11:03 AM,Bole International,Addis Ababa,Ethiopia,23,9871
AV8553,Avianca,El Dorado International,Bogotá,Colombia,6:40 AM,O'Hare International,Chicago,USA,9,2165
NH4775,All Nippon Airways,Haneda,Tokyo,Japan,12:52 AM,Amsterdam Airport Schiphol,Amsterdam,Netherlands,15,9397
QF3265,Qantas,Sydney Airport,Sydney,Australia,2:39 AM,Melbourne Airport,Melbourne,Australia,6,9640
NH7569,All Nippon Airways,Haneda,Tokyo,Japan,9:34 AM,Incheon International,Seoul,South Korea,9,1000
LA6287,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,6:59 AM,Ministro Pistarini International,Buenos Aires,Argentina,9,3058
QF4102,Qantas,Sydney Airport,Sydney,Australia,5:24 PM,Kuala Lumpur International,Kuala Lumpur,Malaysia,21,4432
KL2768,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,5:14 PM,Charles de Gaulle,Paris,France,1,8742
TG3895,Thai Airways,Suvarnabhumi,Bangkok,Thailand,5:25 PM,Beijing Capital International,Beijing,China,24,6924
QF1326,Qantas,Sydney Airport,Sydney,Australia,3:09 PM,Melbourne Airport,Melbourne,Australia,22,1923
NH2315,All Nippon Airways,Haneda,Tokyo,Japan,5:17 PM,Incheon International,Seoul,South Korea,17,3486
NZ1218,Air New Zealand,Auckland Airport,Auckland,New Zealand,2:16 AM,Melbourne Airport,Melbourne,Australia,12,6656
KL4658,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,8:40 AM,Charles de Gaulle,Paris,France,19,5906
TG4368,Thai Airways,Suvarnabhumi,Bangkok,Thailand,5:36 AM,Changi,Singapore,Singapore,22,8170
SK1333,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,10:37 PM,Munich Airport,Munich,Germany,13,8779
NH3030,All Nippon Airways,Haneda,Tokyo,Japan,6:21 AM,Incheon International,Seoul,South Korea,1,7409
DL8529,Delta Air Lines,John F. Kennedy International,New York,USA,7:49 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,24,8303
LH3163,Lufthansa,Frankfurt Airport,Frankfurt,Germany,7:38 PM,Indira Gandhi International,Delhi,India,12,8051
UA4433,United Airlines,Los Angeles International,Los Angeles,USA,12:02 PM,San Francisco International,San Francisco,USA,8,7046
ET1547,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,11:13 PM,Hamad International,Doha,Qatar,6,4895
QF6795,Qantas,Sydney Airport,Sydney,Australia,1:29 AM,Melbourne Airport,Melbourne,Australia,23,2920
AI3656,Air India,Indira Gandhi International,Delhi,India,4:59 PM,Chhatrapati Shivaji International,Mumbai,India,17,6571
QR5322,Qatar Airways,Hamad International,Doha,Qatar,4:58 PM,Munich Airport,Munich,Germany,1,7521
KE6218,Korean Air,Incheon International,Seoul,South Korea,12:11 PM,Haneda,Tokyo,Japan,1,1286
AI5685,Air India,Indira Gandhi International,Delhi,India,11:35 PM,Dubai International,Dubai,UAE,3,1989
AV3448,Avianca,El Dorado International,Bogotá,Colombia,10:31 AM,John F. Kennedy International,New York,USA,15,4609
AC9050,Air Canada,Toronto Pearson,Toronto,Canada,1:02 PM,John F. Kennedy International,New York,USA,9,1031
AV2901,Avianca,El Dorado International,Bogotá,Colombia,2:37 AM,São Paulo/Guarulhos International,São Paulo,Brazil,23,7056
TG1544,Thai Airways,Suvarnabhumi,Bangkok,Thailand,12:11 AM,Beijing Capital International,Beijing,China,5,5902
NH3534,All Nippon Airways,Haneda,Tokyo,Japan,11:26 AM,Incheon International,Seoul,South Korea,16,9182
BA5073,British Airways,Heathrow,London,UK,2:50 AM,Charles de Gaulle,Paris,France,14,230
WN4714,Southwest Airlines,Los Angeles International,Los Angeles,USA,4:02 PM,San Francisco International,San Francisco,USA,6,6868
SA4293,South African Airways,O.R. Tambo International,Johannesburg,South Africa,5:24 PM,Bole International,Addis Ababa,Ethiopia,18,4478
AA6888,American Airlines,John F. Kennedy International,New York,USA,7:35 AM,Hartsfield-Jackson Atlanta,Atlanta,USA,23,2368
BA1044,British Airways,Heathrow,London,UK,9:46 AM,Charles de Gaulle,Paris,France,20,7307
DL7930,Delta Air Lines,John F. Kennedy International,New York,USA,9:08 AM,Miami International,Miami,USA,11,1848
KE7832,Korean Air,Incheon International,Seoul,South Korea,4:07 AM,Haneda,Tokyo,Japan,21,5445
SA2779,South African Airways,O.R. Tambo International,Johannesburg,South Africa,6:51 AM,Charles de Gaulle,Paris,France,23,8962
TG2649,Thai Airways,Suvarnabhumi,Bangkok,Thailand,8:14 AM,Melbourne Airport,Melbourne,Australia,12,5180
QR1765,Qatar Airways,Hamad International,Doha,Qatar,6:00 AM,Adolfo Suárez Madrid–Barajas,Madrid,Spain,18,854
QF4055,Qantas,Sydney Airport,Sydney,Australia,10:17 PM,Haneda,Tokyo,Japan,2,4168
NZ9603,Air New Zealand,Auckland Airport,Auckland,New Zealand,4:35 PM,Sydney Airport,Sydney,Australia,10,8704
NZ2102,Air New Zealand,Auckland Airport,Auckland,New Zealand,10:28 PM,Sydney Airport,Sydney,Australia,3,5661
AA2277,American Airlines,John F. Kennedy International,New York,USA,5:39 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,20,1438
AZ7115,Alitalia,Leonardo da Vinci International,Rome,Italy,2:16 PM,Adolfo Suárez Madrid–Barajas,Madrid,Spain,16,9950
AV2822,Avianca,El Dorado International,Bogotá,Colombia,11:34 PM,O'Hare International,Chicago,USA,9,1038
AA7447,American Airlines,John F. Kennedy International,New York,USA,5:40 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,18,1723
QR2850,Qatar Airways,Hamad International,Doha,Qatar,10:05 AM,Bole International,Addis Ababa,Ethiopia,9,5301
QR4230,Qatar Airways,Hamad International,Doha,Qatar,2:45 AM,Bole International,Addis Ababa,Ethiopia,5,705
AV8092,Avianca,El Dorado International,Bogotá,Colombia,11:29 PM,O'Hare International,Chicago,USA,19,5894
NH7775,All Nippon Airways,Haneda,Tokyo,Japan,9:28 AM,Incheon International,Seoul,South Korea,15,2483
NZ5573,Air New Zealand,Auckland Airport,Auckland,New Zealand,12:33 AM,Changi,Singapore,Singapore,17,1177
AA4623,American Airlines,John F. Kennedy International,New York,USA,3:36 AM,Dallas/Fort Worth International,Dallas,USA,18,2173
LA7284,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,1:55 AM,Ministro Pistarini International,Buenos Aires,Argentina,10,5903
AZ7659,Alitalia,Leonardo da Vinci International,Rome,Italy,9:16 AM,Charles de Gaulle,Paris,France,7,9456
AF8392,Air France,Charles de Gaulle,Paris,France,7:33 PM,Frankfurt Airport,Frankfurt,Germany,12,4750
DL6641,Delta Air Lines,John F. Kennedy International,New York,USA,4:14 PM,San Francisco International,San Francisco,USA,15,1106
SK1914,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,1:49 PM,Charles de Gaulle,Paris,France,12,9138
CX9953,Cathay Pacific,Hong Kong International,Hong Kong,China,6:34 AM,Sydney Airport,Sydney,Australia,20,3814
CX7119,Cathay Pacific,Hong Kong International,Hong Kong,China,11:16 AM,Changi,Singapore,Singapore,19,5013
AA7566,American Airlines,John F. Kennedy International,New York,USA,12:53 PM,Charles de Gaulle,Paris,France,9,6014
QR7515,Qatar Airways,Hamad International,Doha,Qatar,5:22 AM,Bole International,Addis Ababa,Ethiopia,22,2201
AI7588,Air India,Indira Gandhi International,Delhi,India,5:02 PM,Chhatrapati Shivaji International,Mumbai,India,18,6024
EK1275,Emirates,Dubai International,Dubai,UAE,1:27 PM,Hamad International,Doha,Qatar,2,4737
AA5562,American Airlines,John F. Kennedy International,New York,USA,8:06 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,6,4589
BA7341,British Airways,Heathrow,London,UK,6:46 PM,Charles de Gaulle,Paris,France,13,4824
CX1598,Cathay Pacific,Hong Kong International,Hong Kong,China,8:31 PM,Leonardo da Vinci International,Rome,Italy,3,4642
IB8895,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,2:25 PM,Ministro Pistarini International,Buenos Aires,Argentina,21,7676
LH5061,Lufthansa,Frankfurt Airport,Frankfurt,Germany,7:48 PM,Charles de Gaulle,Paris,France,12,805
NH1524,All Nippon Airways,Haneda,Tokyo,Japan,3:29 PM,Hong Kong International,Hong Kong,China,3,6265
LA1025,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,2:33 AM,Ministro Pistarini International,Buenos Aires,Argentina,4,7403
AF8357,Air France,Charles de Gaulle,Paris,France,12:47 AM,Frankfurt Airport,Frankfurt,Germany,13,9317
WN5998,Southwest Airlines,Los Angeles International,Los Angeles,USA,4:55 AM,San Francisco International,San Francisco,USA,24,3729
ET5654,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,12:48 AM,Vienna International,Vienna,Austria,24,5784
KE3943,Korean Air,Incheon International,Seoul,South Korea,1:39 AM,Changi,Singapore,Singapore,20,6657
LH5700,Lufthansa,Frankfurt Airport,Frankfurt,Germany,5:49 PM,Charles de Gaulle,Paris,France,11,4785
IB4821,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,11:59 AM,Suvarnabhumi,Bangkok,Thailand,18,5485
SK6775,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,9:27 PM,Charles de Gaulle,Paris,France,3,9375
TG6233,Thai Airways,Suvarnabhumi,Bangkok,Thailand,12:03 AM,Chhatrapati Shivaji International,Mumbai,India,8,9850
AI7401,Air India,Indira Gandhi International,Delhi,India,5:10 PM,Suvarnabhumi,Bangkok,Thailand,3,8765
SQ8993,Singapore Airlines,Changi,Singapore,Singapore,8:21 AM,Beijing Capital International,Beijing,China,13,8278
AI4251,Air India,Indira Gandhi International,Delhi,India,8:33 AM,Chhatrapati Shivaji International,Mumbai,India,17,4169
QR3591,Qatar Airways,Hamad International,Doha,Qatar,8:24 PM,Bole International,Addis Ababa,Ethiopia,5,5916
KE9657,Korean Air,Incheon International,Seoul,South Korea,2:46 AM,Haneda,Tokyo,Japan,9,9391
QF1039,Qantas,Sydney Airport,Sydney,Australia,11:39 PM,Melbourne Airport,Melbourne,Australia,17,7924
LH7040,Lufthansa,Frankfurt Airport,Frankfurt,Germany,1:29 PM,Charles de Gaulle,Paris,France,13,619
AZ6961,Alitalia,Leonardo da Vinci International,Rome,Italy,3:15 AM,Charles de Gaulle,Paris,France,4,3094
AZ7615,Alitalia,Leonardo da Vinci International,Rome,Italy,3:01 AM,Charles de Gaulle,Paris,France,17,1951
SK9521,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,11:15 AM,Charles de Gaulle,Paris,France,14,598
LH1675,Lufthansa,Frankfurt Airport,Frankfurt,Germany,8:39 AM,Charles de Gaulle,Paris,France,12,8279
AA8058,American Airlines,John F. Kennedy International,New York,USA,3:01 AM,Hartsfield-Jackson Atlanta,Atlanta,USA,4,7581
ET5945,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,11:58 PM,Hamad International,Doha,Qatar,22,8425
QR5080,Qatar Airways,Hamad International,Doha,Qatar,12:51 AM,John F. Kennedy International,New York,USA,8,1461
IB9207,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,9:38 PM,Charles de Gaulle,Paris,France,22,4710
BA7976,British Airways,Heathrow,London,UK,5:12 AM,Adolfo Suárez Madrid–Barajas,Madrid,Spain,23,8781
SA4861,South African Airways,O.R. Tambo International,Johannesburg,South Africa,8:06 PM,Charles de Gaulle,Paris,France,8,7970
AA9509,American Airlines,John F. Kennedy International,New York,USA,4:25 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,16,9828
AM8041,Aeroméxico,Benito Juárez International,Mexico City,Mexico,9:54 PM,O'Hare International,Chicago,USA,11,1683
UA8569,United Airlines,Los Angeles International,Los Angeles,USA,12:57 AM,San Francisco International,San Francisco,USA,12,5821
KE8563,Korean Air,Incheon International,Seoul,South Korea,3:21 PM,Haneda,Tokyo,Japan,20,9118
UA9753,United Airlines,Los Angeles International,Los Angeles,USA,10:47 PM,San Francisco International,San Francisco,USA,23,9057
AF8392,Air France,Charles de Gaulle,Paris,France,2:49 PM,Frankfurt Airport,Frankfurt,Germany,8,7655
WN8555,Southwest Airlines,Los Angeles International,Los Angeles,USA,2:56 AM,Denver International,Denver,USA,1,5904
SK1460,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,9:12 PM,Charles de Gaulle,Paris,France,2,2176
UA9709,United Airlines,Los Angeles International,Los Angeles,USA,11:31 AM,San Francisco International,San Francisco,USA,13,1825
QR9262,Qatar Airways,Hamad International,Doha,Qatar,8:56 PM,Bole International,Addis Ababa,Ethiopia,11,2925
LA3180,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,7:52 PM,Kuala Lumpur International,Kuala Lumpur,Malaysia,16,7741
NH8743,All Nippon Airways,Haneda,Tokyo,Japan,1:13 PM,Incheon International,Seoul,South Korea,10,5082
DL9341,Delta Air Lines,John F. Kennedy International,New York,USA,8:34 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,23,6353
AF6606,Air France,Charles de Gaulle,Paris,France,4:31 AM,Frankfurt Airport,Frankfurt,Germany,11,4224
AA8853,American Airlines,John F. Kennedy International,New York,USA,4:21 AM,Hartsfield-Jackson Atlanta,Atlanta,USA,16,2856
KE8751,Korean Air,Incheon International,Seoul,South Korea,1:12 PM,Logan International,Boston,USA,8,8393
WN5297,Southwest Airlines,Los Angeles International,Los Angeles,USA,1:34 AM,San Francisco International,San Francisco,USA,24,1862
UA6425,United Airlines,Los Angeles International,Los Angeles,USA,5:43 AM,San Francisco International,San Francisco,USA,5,1931
LH5493,Lufthansa,Frankfurt Airport,Frankfurt,Germany,1:29 AM,Charles de Gaulle,Paris,France,13,7050
QF7073,Qantas,Sydney Airport,Sydney,Australia,7:04 AM,Melbourne Airport,Melbourne,Australia,7,5936
KE3649,Korean Air,Incheon International,Seoul,South Korea,5:53 AM,Haneda,Tokyo,Japan,1,9749
SQ1972,Singapore Airlines,Changi,Singapore,Singapore,7:31 PM,Beijing Capital International,Beijing,China,24,4121
QR9135,Qatar Airways,Hamad International,Doha,Qatar,7:23 PM,Heathrow,London,UK,24,500
DL9098,Delta Air Lines,John F. Kennedy International,New York,USA,1:35 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,13,1668
LH3518,Lufthansa,Frankfurt Airport,Frankfurt,Germany,6:06 AM,Charles de Gaulle,Paris,France,10,4558
QF7333,Qantas,Sydney Airport,Sydney,Australia,3:57 AM,Melbourne Airport,Melbourne,Australia,8,9380
UA5419,United Airlines,Los Angeles International,Los Angeles,USA,10:50 AM,Copenhagen Airport,Copenhagen,Denmark,2,1970
AV7927,Avianca,El Dorado International,Bogotá,Colombia,7:46 PM,O'Hare International,Chicago,USA,1,3756
SA5569,South African Airways,O.R. Tambo International,Johannesburg,South Africa,12:56 AM,Charles de Gaulle,Paris,France,20,8140
DL4972,Delta Air Lines,John F. Kennedy International,New York,USA,11:08 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,9,4606
SQ4431,Singapore Airlines,Changi,Singapore,Singapore,12:39 AM,Beijing Capital International,Beijing,China,4,6290
AV1831,Avianca,El Dorado International,Bogotá,Colombia,10:25 PM,Heathrow,London,UK,11,4787
WN7757,Southwest Airlines,Los Angeles International,Los Angeles,USA,10:27 AM,Miami International,Miami,USA,14,2193
AZ7072,Alitalia,Leonardo da Vinci International,Rome,Italy,6:19 AM,Charles de Gaulle,Paris,France,5,6939
LH3591,Lufthansa,Frankfurt Airport,Frankfurt,Germany,1:43 AM,Charles de Gaulle,Paris,France,21,9990
IB9376,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,3:47 PM,Charles de Gaulle,Paris,France,3,4139
AF5997,Air France,Charles de Gaulle,Paris,France,8:23 PM,Frankfurt Airport,Frankfurt,Germany,11,4052
AZ7920,Alitalia,Leonardo da Vinci International,Rome,Italy,10:44 AM,Charles de Gaulle,Paris,France,11,8837
BA3159,British Airways,Heathrow,London,UK,5:27 PM,Charles de Gaulle,Paris,France,10,2503
LA7268,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,1:31 PM,Ministro Pistarini International,Buenos Aires,Argentina,16,6664
ET6157,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,8:34 PM,Hamad International,Doha,Qatar,15,852
CX9201,Cathay Pacific,Hong Kong International,Hong Kong,China,2:50 AM,Changi,Singapore,Singapore,23,4886
AC7189,Air Canada,Toronto Pearson,Toronto,Canada,3:41 AM,Ministro Pistarini International,Buenos Aires,Argentina,8,1991
KL1922,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,6:16 PM,Adolfo Suárez Madrid–Barajas,Madrid,Spain,11,8976
ET9488,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,4:46 AM,Hamad International,Doha,Qatar,6,5484
QR6944,Qatar Airways,Hamad International,Doha,Qatar,9:23 PM,Bole International,Addis Ababa,Ethiopia,18,4649
AF1748,Air France,Charles de Gaulle,Paris,France,3:55 AM,Frankfurt Airport,Frankfurt,Germany,11,3032
DL8815,Delta Air Lines,John F. Kennedy International,New York,USA,3:11 AM,Ministro Pistarini International,Buenos Aires,Argentina,18,5962
AZ8524,Alitalia,Leonardo da Vinci International,Rome,Italy,8:58 PM,Charles de Gaulle,Paris,France,16,340
DL8435,Delta Air Lines,John F. Kennedy International,New York,USA,1:25 PM,Amsterdam Airport Schiphol,Amsterdam,Netherlands,14,7178
CX1163,Cathay Pacific,Hong Kong International,Hong Kong,China,4:36 AM,Changi,Singapore,Singapore,3,8707
NZ5311,Air New Zealand,Auckland Airport,Auckland,New Zealand,5:29 PM,Sydney Airport,Sydney,Australia,9,9394
KL8738,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,8:45 AM,Chhatrapati Shivaji International,Mumbai,India,19,3588
SK3846,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,7:35 AM,Charles de Gaulle,Paris,France,3,570
LA7380,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,4:19 AM,Ministro Pistarini International,Buenos Aires,Argentina,17,9686
AZ3825,Alitalia,Leonardo da Vinci International,Rome,Italy,3:49 AM,Charles de Gaulle,Paris,France,19,6482
ET4947,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,6:37 AM,Hamad International,Doha,Qatar,16,4208
DL7850,Delta Air Lines,John F. Kennedy International,New York,USA,5:33 PM,São Paulo/Guarulhos International,São Paulo,Brazil,7,7181
ET5952,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,4:56 PM,Hamad International,Doha,Qatar,5,1125
KL3670,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,2:12 AM,Charles de Gaulle,Paris,France,18,5354
NH4813,All Nippon Airways,Haneda,Tokyo,Japan,4:40 AM,Incheon International,Seoul,South Korea,8,7409
DL9400,Delta Air Lines,John F. Kennedy International,New York,USA,3:45 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,20,3372
SA3472,South African Airways,O.R. Tambo International,Johannesburg,South Africa,8:21 PM,São Paulo/Guarulhos International,São Paulo,Brazil,1,9115
AI2682,Air India,Indira Gandhi International,Delhi,India,8:39 PM,Chhatrapati Shivaji International,Mumbai,India,8,562
NH5199,All Nippon Airways,Haneda,Tokyo,Japan,1:48 AM,Incheon International,Seoul,South Korea,20,2622
SA2484,South African Airways,O.R. Tambo International,Johannesburg,South Africa,10:31 AM,Charles de Gaulle,Paris,France,7,4538
SQ7992,Singapore Airlines,Changi,Singapore,Singapore,6:54 AM,Brisbane Airport,Brisbane,Australia,11,6191
CX4495,Cathay Pacific,Hong Kong International,Hong Kong,China,9:55 AM,Charles de Gaulle,Paris,France,17,6148
BA3458,British Airways,Heathrow,London,UK,9:00 AM,Charles de Gaulle,Paris,France,19,3242
UA1033,United Airlines,Los Angeles International,Los Angeles,USA,7:53 AM,San Francisco International,San Francisco,USA,8,5184
CX3838,Cathay Pacific,Hong Kong International,Hong Kong,China,3:09 PM,Changi,Singapore,Singapore,2,5163
DL5874,Delta Air Lines,John F. Kennedy International,New York,USA,3:45 AM,Los Angeles International,Los Angeles,USA,3,8571
AA3272,American Airlines,John F. Kennedy International,New York,USA,7:30 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,12,5322
AI1237,Air India,Indira Gandhi International,Delhi,India,1:31 AM,Chhatrapati Shivaji International,Mumbai,India,13,4190
QR4886,Qatar Airways,Hamad International,Doha,Qatar,6:24 PM,Bole International,Addis Ababa,Ethiopia,18,6393
AM7051,Aeroméxico,Benito Juárez International,Mexico City,Mexico,5:39 AM,O'Hare International,Chicago,USA,24,6299
WN8983,Southwest Airlines,Los Angeles International,Los Angeles,USA,1:02 PM,San Francisco International,San Francisco,USA,22,9208
KE8227,Korean Air,Incheon International,Seoul,South Korea,3:17 PM,Haneda,Tokyo,Japan,19,8546
QR7020,Qatar Airways,Hamad International,Doha,Qatar,5:10 AM,São Paulo/Guarulhos International,São Paulo,Brazil,8,1883
WN7180,Southwest Airlines,Los Angeles International,Los Angeles,USA,12:15 AM,San Francisco International,San Francisco,USA,2,6601
AF9326,Air France,Charles de Gaulle,Paris,France,5:51 AM,Incheon International,Seoul,South Korea,21,5930
UA3391,United Airlines,Los Angeles International,Los Angeles,USA,2:09 AM,San Francisco International,San Francisco,USA,7,2339
UA6429,United Airlines,Los Angeles International,Los Angeles,USA,12:54 PM,San Francisco International,San Francisco,USA,16,9978
BA6099,British Airways,Heathrow,London,UK,6:58 AM,Hamad International,Doha,Qatar,12,1783
KE5573,Korean Air,Incheon International,Seoul,South Korea,6:45 PM,Haneda,Tokyo,Japan,15,6513
SQ5204,Singapore Airlines,Changi,Singapore,Singapore,10:02 AM,Beijing Capital International,Beijing,China,2,287
AF8349,Air France,Charles de Gaulle,Paris,France,6:55 AM,Frankfurt Airport,Frankfurt,Germany,20,3023
SK4515,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,1:28 PM,Vienna International,Vienna,Austria,6,4725
AV6048,Avianca,El Dorado International,Bogotá,Colombia,1:18 AM,O'Hare International,Chicago,USA,7,3365
KL2216,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,10:05 PM,Charles de Gaulle,Paris,France,10,9162
WN8234,Southwest Airlines,Los Angeles International,Los Angeles,USA,4:24 PM,Auckland Airport,Auckland,New Zealand,23,215
KE5284,Korean Air,Incheon International,Seoul,South Korea,8:51 AM,Haneda,Tokyo,Japan,2,1417
DL5432,Delta Air Lines,John F. Kennedy International,New York,USA,9:14 AM,Hartsfield-Jackson Atlanta,Atlanta,USA,5,2020
WN1275,Southwest Airlines,Los Angeles International,Los Angeles,USA,8:10 PM,Toronto Pearson,Toronto,Canada,22,2895
TG2523,Thai Airways,Suvarnabhumi,Bangkok,Thailand,8:12 PM,Changi,Singapore,Singapore,24,9007
LA1106,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,12:41 AM,Ministro Pistarini International,Buenos Aires,Argentina,8,9228
QR8006,Qatar Airways,Hamad International,Doha,Qatar,4:40 PM,Leonardo da Vinci International,Rome,Italy,12,2635
KE7989,Korean Air,Incheon International,Seoul,South Korea,5:10 AM,Haneda,Tokyo,Japan,14,7510
LA5082,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,5:56 AM,Ministro Pistarini International,Buenos Aires,Argentina,4,3928
SK1460,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,2:01 PM,Charles de Gaulle,Paris,France,23,7970
SQ4535,Singapore Airlines,Changi,Singapore,Singapore,8:18 AM,Beijing Capital International,Beijing,China,20,6895
QR6953,Qatar Airways,Hamad International,Doha,Qatar,8:49 PM,Frankfurt Airport,Frankfurt,Germany,8,6781
NZ9286,Air New Zealand,Auckland Airport,Auckland,New Zealand,10:34 PM,Sydney Airport,Sydney,Australia,8,9970
EK2841,Emirates,Dubai International,Dubai,UAE,2:29 AM,Changi,Singapore,Singapore,15,3204
KE9516,Korean Air,Incheon International,Seoul,South Korea,7:41 PM,Haneda,Tokyo,Japan,7,7349
QF7701,Qantas,Sydney Airport,Sydney,Australia,6:07 AM,Melbourne Airport,Melbourne,Australia,8,4199
KE3458,Korean Air,Incheon International,Seoul,South Korea,5:29 PM,Haneda,Tokyo,Japan,8,5331
EK8571,Emirates,Dubai International,Dubai,UAE,1:41 AM,Amsterdam Airport Schiphol,Amsterdam,Netherlands,6,9174
AZ4787,Alitalia,Leonardo da Vinci International,Rome,Italy,2:50 AM,Miami International,Miami,USA,8,8829
TG8329,Thai Airways,Suvarnabhumi,Bangkok,Thailand,2:47 AM,Changi,Singapore,Singapore,16,728
AC8262,Air Canada,Toronto Pearson,Toronto,Canada,2:54 AM,Hartsfield-Jackson Atlanta,Atlanta,USA,3,8208
AI3768,Air India,Indira Gandhi International,Delhi,India,12:52 AM,Hamad International,Doha,Qatar,24,3694
TG8972,Thai Airways,Suvarnabhumi,Bangkok,Thailand,9:41 PM,Changi,Singapore,Singapore,6,9175
AA1658,American Airlines,John F. Kennedy International,New York,USA,1:59 AM,Hartsfield-Jackson Atlanta,Atlanta,USA,5,8978
KE5697,Korean Air,Incheon International,Seoul,South Korea,9:45 PM,São Paulo/Guarulhos International,São Paulo,Brazil,2,2805
NH7202,All Nippon Airways,Haneda,Tokyo,Japan,7:54 AM,Incheon International,Seoul,South Korea,24,5572
KE7320,Korean Air,Incheon International,Seoul,South Korea,5:13 AM,Haneda,Tokyo,Japan,17,5208
TG7432,Thai Airways,Suvarnabhumi,Bangkok,Thailand,7:41 AM,Changi,Singapore,Singapore,8,2244
EK7739,Emirates,Dubai International,Dubai,UAE,4:27 AM,Hamad International,Doha,Qatar,15,4402
DL9019,Delta Air Lines,John F. Kennedy International,New York,USA,1:49 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,5,403
KL7828,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,10:55 AM,Stockholm Arlanda,Stockholm,Sweden,8,2147
SQ4039,Singapore Airlines,Changi,Singapore,Singapore,3:34 AM,Beijing Capital International,Beijing,China,12,8920
BA6368,British Airways,Heathrow,London,UK,12:05 AM,Charles de Gaulle,Paris,France,5,8836
