flight_id,airline_name,airline_code,flight_number,departure_airport,arrival_airport,cabin_class,ticket_type,aircraft_type,departure_time,arrival_time,flight_duration_hours,distance_miles,base_fare_usd
258,Cathay Pacific,CX,CX5049,HKG,SIN,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,2/15/2022,8/9/2023,12.06,3022,1024.25
259,Qatar Airways,QR,QR8829,DOH,ADD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,10/21/2025,4/16/2024,8.78,7107,3216.72
260,Aeroméxico,AM,AM5855,MEX,ORD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,5/1/2026,6/29/2025,15.79,813,57.45
261,Delta Air Lines,DL,DL7036,JFK,ATL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1/7/2022,5/7/2023,2.93,5365,2523.37
262,KLM Royal Dutch Airlines,KL,KL2423,AMS,LAX,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,12/2/2024,7/17/2023,5.71,1780,755.31
263,Qatar Airways,QR,QR4593,DOH,ADD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,9/15/2025,8/1/2025,14.12,3287,706.22
264,Air France,AF,AF1830,CDG,FRA,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,2/18/2026,6/26/2025,5.04,2579,359.87
265,Alitalia,AZ,AZ6460,FCO,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,10/13/2022,9/25/2023,9.16,530,3477.2
266,Korean Air,KE,KE3360,ICN,HND,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,12/5/2026,6/18/2025,2.96,3534,1627.34
267,Cathay Pacific,CX,CX8450,HKG,SIN,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,10/29/2022,3/7/2025,17.46,2858,3017.03
268,KLM Royal Dutch Airlines,KL,KL3810,AMS,ARN,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,12/19/2023,7/22/2023,2.44,7605,2588.49
269,Aeroméxico,AM,AM5743,MEX,NBO,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,9/6/2026,7/1/2022,5.49,7573,1613.54
270,Qantas,QF,QF8880,SYD,MEL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,5/6/2025,12/1/2022,10.34,1355,511.31
271,Cathay Pacific,CX,CX3838,HKG,SIN,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,5/20/2022,11/12/2024,7.77,1278,522.8
272,Korean Air,KE,KE4039,ICN,AKL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,9/21/2023,3/31/2022,6.8,4670,3099.52
273,Avianca,AV,AV4168,BOG,ORD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,7/21/2023,8/11/2025,13.03,2279,351.04
274,All Nippon Airways,NH,NH8283,HND,ICN,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,4/3/2025,11/3/2022,3.46,1359,2446.76
275,Qantas,QF,QF7218,SYD,MEL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,12/16/2023,7/20/2023,15.26,1556,3051.95
276,Qatar Airways,QR,QR3629,DOH,ADD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,5/31/2022,11/10/2023,12.83,5457,1518.91
277,Avianca,AV,AV3966,BOG,ORD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,10/19/2025,9/8/2023,8.6,719,1213.14
278,Lufthansa,LH,LH8100,FRA,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,2/26/2026,9/1/2025,6.44,1547,2251.49
279,Air Canada,AC,AC8831,YYZ,JFK,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,6/7/2026,6/13/2024,10.92,8604,2758.32
280,Air Canada,AC,AC6229,YYZ,ADD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1/2/2023,2/28/2023,14.66,7793,882.94
281,Avianca,AV,AV4964,BOG,ORD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,6/16/2026,6/11/2022,8.62,2237,2874.43
282,Korean Air,KE,KE6156,ICN,SIN,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,4/11/2026,4/14/2023,13.42,5795,881.16
283,United Airlines,UA,UA9240,LAX,MAD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,5/22/2024,6/6/2026,3.85,1691,1326.75
284,Ethiopian Airlines,ET,ET5683,ADD,DOH,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1/6/2025,7/18/2024,2.4,1929,2419.52
285,South African Airways,SA,SA7221,JNB,NBO,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,7/26/2024,5/18/2024,2.32,6143,96.35
286,Air Canada,AC,AC5785,YYZ,JFK,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,11/19/2024,4/16/2022,1.2,467,3434.49
287,Delta Air Lines,DL,DL2266,JFK,ATL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,10/16/2025,1/24/2023,17.15,2422,3038.18
288,Qatar Airways,QR,QR9747,DOH,ADD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,2/21/2023,11/6/2023,7.23,7879,328.06
289,South African Airways,SA,SA4782,JNB,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,8/21/2025,1/12/2025,17.54,5646,2703.67
290,Qantas,QF,QF7905,SYD,MEL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1/12/2022,12/24/2025,17.46,7596,602.48
291,Air India,AI,AI5591,DEL,BOM,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,10/9/2026,8/25/2023,2.33,8788,3134.21
292,American Airlines,AA,AA1730,JFK,SCL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,9/3/2026,2/8/2022,13.45,2303,3195.93
293,Aeroméxico,AM,AM7321,MEX,NBO,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,6/18/2023,2/7/2025,15.29,2439,1661.89
294,Thai Airways,TG,TG7509,BKK,DEL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,10/1/2026,1/2/2025,13.91,6704,1213.01
295,American Airlines,AA,AA2173,JFK,ATL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,5/18/2022,3/7/2023,5.94,7222,1858.86
296,Aeroméxico,AM,AM5515,MEX,ORD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,9/16/2024,10/14/2024,4.46,2755,1962.0
297,Aeroméxico,AM,AM7520,MEX,ORD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,8/26/2025,5/21/2025,1.95,2474,2580.71
298,Air France,AF,AF8413,CDG,FRA,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,4/10/2025,4/10/2026,7.32,8740,1456.19
299,Southwest Airlines,WN,WN7802,LAX,SFO,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,11/20/2026,5/18/2024,10.86,4936,3065.07
300,Ethiopian Airlines,ET,ET5683,ADD,DOH,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,2/26/2022,3/31/2023,5.55,1050,2313.09
301,Qatar Airways,QR,QR5659,DOH,ADD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,8/2/2024,6/27/2025,10.05,3436,1799.91
302,American Airlines,AA,AA9066,JFK,ATL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,8/17/2024,10/17/2024,9.28,6212,3464.38
303,Korean Air,KE,KE8563,ICN,HND,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,9/5/2024,8/22/2025,5.79,4188,1055.81
304,KLM Royal Dutch Airlines,KL,KL7370,AMS,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,3/20/2024,5/19/2025,11.61,7873,1329.9
305,Cathay Pacific,CX,CX2556,HKG,SIN,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,3/27/2022,9/16/2022,8.37,5666,2436.77
306,LATAM Airlines,LA,LA4554,GRU,EZE,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,9/3/2022,6/24/2026,10.45,3503,775.73
307,Lufthansa,LH,LH6305,FRA,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,8/21/2024,7/21/2022,4.65,2267,1165.24
308,Qatar Airways,QR,QR7618,DOH,ADD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,6/10/2024,5/17/2022,6.3,2477,54.51
309,Air Canada,AC,AC2475,YYZ,JFK,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,11/5/2024,2/19/2025,1.33,6608,2653.31
310,Lufthansa,LH,LH3929,FRA,MUC,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,8/16/2022,1/2/2023,13.44,3204,785.36
311,British Airways,BA,BA8910,LHR,JFK,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,7/8/2022,5/14/2026,16.15,7255,2519.48
312,South African Airways,SA,SA4032,JNB,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,5/29/2022,5/4/2022,2.01,8776,319.73
313,Emirates,EK,EK5011,DXB,BKK,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,10/24/2026,8/24/2026,15.36,8618,1401.2
314,Korean Air,KE,KE7203,ICN,HND,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,2/25/2024,6/6/2024,6.09,5977,1421.6
315,Cathay Pacific,CX,CX9679,HKG,SIN,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1/12/2025,8/13/2025,8.34,4620,1980.92
316,Qatar Airways,QR,QR4989,DOH,ADD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,6/1/2024,6/14/2022,10.8,8418,290.94
317,American Airlines,AA,AA8464,JFK,ATL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,10/8/2023,7/9/2023,6.27,3822,347.96
318,Air India,AI,AI6534,DEL,BOM,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,2/12/2022,6/29/2023,17.14,7859,2838.57
319,Avianca,AV,AV9242,BOG,ORD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,12/2/2023,11/9/2026,9.51,3084,3143.86
320,Emirates,EK,EK1519,DXB,CPT,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1/23/2023,6/15/2026,4.45,4543,2943.71
321,South African Airways,SA,SA7853,JNB,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,5/10/2024,11/13/2025,14.22,920,428.1
322,American Airlines,AA,AA4410,JFK,FCO,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,11/4/2023,3/7/2023,4.48,5512,2814.77
323,American Airlines,AA,AA1542,JFK,ATL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,5/22/2026,7/28/2026,16.75,5065,410.99
324,Southwest Airlines,WN,WN6141,LAX,SFO,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,3/10/2023,2/28/2025,17.51,4263,2011.62
325,Korean Air,KE,KE5284,ICN,HND,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,9/26/2023,8/4/2025,8.02,6812,1867.62
326,Air New Zealand,NZ,NZ6764,AKL,SYD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,10/22/2025,7/31/2024,5.29,2774,3462.63
327,Qantas,QF,QF5533,SYD,MEL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,4/3/2025,7/7/2023,3.99,8047,2107.52
328,LATAM Airlines,LA,LA7277,GRU,AMS,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1/4/2025,6/11/2023,17.72,7992,3340.04
329,LATAM Airlines,LA,LA5926,GRU,EZE,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1/22/2023,5/2/2023,6.01,2832,1027.81
330,Alitalia,AZ,AZ5181,FCO,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,9/3/2023,11/4/2026,11.86,4134,3188.72
331,Delta Air Lines,DL,DL7004,JFK,LAX,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,12/14/2022,5/26/2026,2.31,5928,3253.35
332,Air New Zealand,NZ,NZ5311,AKL,SYD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,4/27/2024,10/30/2023,4.03,3620,2440.57
333,Aeroméxico,AM,AM6576,MEX,LAX,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,5/3/2022,10/30/2024,16.63,7092,689.0
334,Thai Airways,TG,TG4753,BKK,VIE,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,5/22/2026,10/6/2025,13.18,4988,2902.04
335,Lufthansa,LH,LH6965,FRA,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,12/30/2025,8/21/2025,13.39,8772,450.01
336,SAS Scandinavian,SK,SK7103,CPH,DXB,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,6/18/2025,3/3/2025,6.22,5994,2338.26
337,Air France,AF,AF6128,CDG,MUC,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,6/29/2023,7/17/2022,17.65,3876,1982.96
338,Qatar Airways,QR,QR2115,DOH,ADD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,6/9/2026,2/8/2022,16.56,3001,2801.8
339,British Airways,BA,BA6099,LHR,DOH,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,3/8/2024,12/15/2024,2.1,4070,1214.3
340,Cathay Pacific,CX,CX4520,HKG,SIN,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,5/22/2026,2/28/2023,7.72,8014,2572.43
341,Ethiopian Airlines,ET,ET4601,ADD,DOH,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,4/25/2023,6/24/2024,3.13,2763,1867.03
342,United Airlines,UA,UA5552,LAX,HKG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,12/25/2024,5/24/2023,11.2,5435,854.94
343,SAS Scandinavian,SK,SK3891,CPH,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,8/4/2024,12/26/2026,8.61,2535,72.38
344,Ethiopian Airlines,ET,ET6441,ADD,DOH,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,3/21/2024,11/30/2025,5.55,2593,1347.47
345,Air Canada,AC,AC6293,YYZ,JFK,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,6/16/2026,12/10/2026,10.4,7280,3377.08
346,Emirates,EK,EK1409,DXB,ADD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,12/28/2026,8/7/2026,9.53,3554,2765.76
347,Air France,AF,AF4156,CDG,FRA,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,3/1/2026,9/22/2024,0.33,1279,2979.23
348,Air Canada,AC,AC9772,YYZ,JFK,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,10/13/2023,7/24/2025,6.38,3547,3154.57
349,Aeroméxico,AM,AM9560,MEX,MAD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,5/18/2023,7/17/2026,11.57,2084,2335.74
350,Singapore Airlines,SQ,SQ9811,SIN,KUL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,9/13/2026,11/1/2026,10.02,4243,1211.91
351,Avianca,AV,AV4401,BOG,ORD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,12/5/2026,2/22/2026,8.57,5802,2935.3
352,All Nippon Airways,NH,NH5222,HND,ADD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,12/20/2026,7/1/2025,17.23,4906,623.17
353,Delta Air Lines,DL,DL2731,JFK,ATL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,2/24/2024,1/19/2026,10.4,1124,1692.34
354,Emirates,EK,EK2062,DXB,DOH,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,11/4/2023,12/5/2024,11.71,8124,1180.22
355,Thai Airways,TG,TG1360,BKK,SIN,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,10/1/2023,11/14/2025,1.06,6587,555.14
356,South African Airways,SA,SA8685,JNB,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,10/22/2025,10/2/2022,5.44,6907,3119.73
357,Air New Zealand,NZ,NZ1915,AKL,BNE,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,5/4/2022,11/19/2024,2.6,7747,2824.85
358,Iberia,IB,IB8524,MAD,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,9/9/2024,4/1/2023,10.97,7256,3189.08
359,South African Airways,SA,SA2638,JNB,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1/7/2022,11/20/2022,14.31,96,3024.26
360,Delta Air Lines,DL,DL3294,JFK,ATL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,10/29/2026,5/1/2026,12.19,4023,167.03
361,American Airlines,AA,AA2814,JFK,MEX,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,7/31/2022,3/5/2023,1.31,8751,812.32
362,South African Airways,SA,SA8652,JNB,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,9/15/2026,11/30/2026,10.92,413,333.26
363,Avianca,AV,AV3620,BOG,YYZ,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,12/23/2022,5/23/2024,3.24,2495,1923.02
364,Delta Air Lines,DL,DL8815,JFK,EZE,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,8/26/2022,11/2/2023,14.9,902,2641.98
365,Aeroméxico,AM,AM7878,MEX,ORD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,4/11/2023,3/7/2024,2.58,8489,1739.86
366,Qatar Airways,QR,QR5179,DOH,ADD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,4/24/2024,7/31/2024,14.03,5111,1505.41
367,Ethiopian Airlines,ET,ET1457,ADD,DOH,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,8/31/2023,10/3/2024,14.65,1276,1748.29
368,British Airways,BA,BA3159,LHR,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,7/31/2024,4/2/2024,5.46,1795,857.8
369,Qatar Airways,QR,QR1780,DOH,ADD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,12/12/2024,2/24/2026,17.47,7006,2607.62
370,South African Airways,SA,SA1461,JNB,DEL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,3/6/2026,3/7/2026,8.98,4267,558.16
371,Air New Zealand,NZ,NZ3507,AKL,SIN,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,5/12/2025,3/15/2026,15.29,3046,381.27
372,Southwest Airlines,WN,WN4815,LAX,SFO,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,5/21/2025,3/28/2023,4.66,7794,2297.99
373,Qatar Airways,QR,QR7340,DOH,ADD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1/10/2026,7/22/2023,4.95,6801,3150.41
374,LATAM Airlines,LA,LA5926,GRU,EZE,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,4/19/2023,10/3/2026,1.88,6777,1827.92
375,Avianca,AV,AV8136,BOG,ORD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,4/5/2022,8/21/2023,7.74,6008,1297.13
376,Cathay Pacific,CX,CX6654,HKG,SIN,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,8/5/2025,9/21/2024,16.74,2806,2406.03
377,Southwest Airlines,WN,WN2211,LAX,SFO,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,12/17/2026,7/6/2025,6.92,4859,1384.14
378,United Airlines,UA,UA6061,LAX,YVR,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,6/1/2023,4/17/2022,1.98,2653,2739.35
379,Korean Air,KE,KE2453,ICN,HND,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,9/12/2022,10/31/2023,16.41,6928,257.23
380,Emirates,EK,EK5144,DXB,BNE,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,11/29/2026,4/1/2025,17.45,2711,1492.96
381,LATAM Airlines,LA,LA7850,GRU,EZE,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,8/24/2025,6/27/2022,5.82,1302,2073.44
382,KLM Royal Dutch Airlines,KL,KL5385,AMS,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,6/25/2024,8/9/2025,4.64,2834,548.75
383,Air New Zealand,NZ,NZ7014,AKL,SYD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,11/18/2022,6/10/2023,4.89,5630,1211.81
384,Aeroméxico,AM,AM9674,MEX,ORD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,12/6/2025,9/25/2022,15.34,284,1866.4
385,Air New Zealand,NZ,NZ7946,AKL,SYD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,3/25/2026,6/26/2026,13.34,1931,2700.85
386,Delta Air Lines,DL,DL5525,JFK,ATL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,4/1/2023,2/21/2023,16.59,59,466.39
387,British Airways,BA,BA5939,LHR,CPT,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,3/2/2022,5/21/2024,2.81,7981,2939.84
388,Air New Zealand,NZ,NZ1648,AKL,SYD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,4/28/2024,1/1/2022,9.27,4166,1664.14
389,Korean Air,KE,KE2522,ICN,HND,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,12/28/2026,10/24/2023,13.04,5929,940.67
